exchange,symbol,funding,next_funding,short_ma,long_ma,positive_ratio,volatility,timestamp
bybit,AT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,5.000000000000001e-05,1.0,1.862747406386599e-05,1774342023893.0
bybit,ATH/USDT:USDT,-0.0006513,2026-03-24T12:00:00.000Z,-0.0003893280952380952,-0.0003485309999999999,0.375,0.0006846888499934965,1774342023894.0
bybit,AUCTION/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-4.141904761904762e-06,-3.3787777777777794e-06,0.7666666666666667,0.00013871806339108193,1774342023893.0
bybit,A/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.571428571428592e-08,-9.899999999999975e-07,0.6666666666666666,7.819575236758922e-05,1774342023892.0
bybit,ATOM/USDT:USDT,-2.52e-06,2026-03-24T16:00:00.000Z,-4.569333333333334e-05,-0.0003479728888888889,0.20833333333333334,0.0005032105658102613,1774342023892.0
bybit,AVAAI/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,0.00011882523809523813,0.0001837235555555556,0.9833333333333333,0.0002470186247853112,1774342023995.0
bybit,AVA/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,2.9375777777777787e-05,0.8666666666666667,5.887196125113853e-05,1774342024004.0
bybit,AVAX/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,1.9509523809523802e-06,1.1367666666666671e-05,0.625,8.628673602765117e-05,1774342024204.0
bybit,AXS/USDT:USDT,-0.00062784,2026-03-24T16:00:00.000Z,-0.001037832380952381,-0.0008258106666666666,0.13333333333333333,0.0007179649968649769,1774342024295.0
bybit,AVL/USDT:USDT,-0.00272361,2026-03-24T12:00:00.000Z,-0.0015917476190476193,-0.00042752022222222215,0.8333333333333334,0.0010344323553214227,1774342024305.0
bybit,AXL/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-8.877142857142853e-06,1.0848888888888917e-06,0.6416666666666667,0.00012324796035319293,1774342024295.0
bybit,AVNT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-0.0001255790476190476,-0.00018346133333333334,0.375,0.0003822000636904345,1774342024296.0
bybit,AWE/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,4.790877777777778e-05,0.9416666666666667,0.00011471746497370423,1774342024296.0
bybit,AZTEC/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,2.085238095238096e-05,8.556888888888896e-06,0.7083333333333334,0.00020932926579034854,1774342024405.0
bybit,B2/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,0.00010021619047619046,6.171711111111114e-05,1.0,8.50388873612472e-05,1774342024405.0
bybit,B3/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,4.466744444444445e-05,0.925,7.997041006504984e-05,1774342024608.0
bybit,BANANAS31/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,8.136190476190474e-05,4.8240555555555565e-05,0.9833333333333333,9.206568064879763e-05,1774342024709.0
bybit,BABY/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-7.810285714285714e-05,-3.125844444444444e-05,0.6666666666666666,0.0019355525543127627,1774342024701.0
okx,BTC/USDT:USDT,8.32459944451e-05,2026-03-24T16:00:00.000Z,8.04602040619048e-07,9.137275689382221e-06,0.6333333333333333,3.992714010440758e-05,
okx,ETH/USDT:USDT,2.71356120008e-05,2026-03-24T16:00:00.000Z,2.1371421391666655e-06,1.597516612599222e-05,0.625,5.103853203270182e-05,
okx,OKB/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.0093608311314295e-05,3.675191545685001e-05,0.875,2.6597883386747687e-05,
okx,DOGE/USDT:USDT,2.627965323e-06,2026-03-24T16:00:00.000Z,-2.1179218153028575e-05,5.019276985176667e-06,0.55,6.885272723020101e-05,
okx,SOL/USDT:USDT,2.58651200345e-05,2026-03-24T16:00:00.000Z,-3.97429102203381e-05,-1.9500307561877777e-05,0.39166666666666666,8.262690739532146e-05,
okx,XRP/USDT:USDT,7.00596642173e-05,2026-03-24T16:00:00.000Z,1.6656431876923812e-05,-8.779482143715554e-06,0.5083333333333333,8.121284592256784e-05,
okx,PUMP/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-1.3084165451476183e-05,6.378027070688931e-07,0.6666666666666666,7.835373451961641e-05,
okx,BCH/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-2.8555469258057135e-05,-7.30402888076011e-05,0.2916666666666667,0.00010940170829956416,
okx,WLFI/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-2.105418379697142e-05,-1.409550808964443e-06,0.675,0.00010526706530720366,
okx,1INCH/USDT:USDT,-0.0002241030706533,2026-03-24T16:00:00.000Z,-0.00010490840453753335,-5.2442782152427776e-05,0.45,0.0001435775493419446,
okx,0G/USDT:USDT,-0.0011296127975537,2026-03-24T12:00:00.000Z,-0.000823215734520919,-0.0003640461138960267,0.2,0.00040843200164989183,
okx,LINEA/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-2.22848303881e-05,5.562661008204446e-06,0.7333333333333333,7.240360347628642e-05,
okx,A/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,2.7087390338952384e-05,3.279725782278556e-05,0.825,4.2439148727101847e-05,
okx,2Z/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-1.4542654081814277e-05,-6.695973360755001e-05,0.4,0.00013082835744345666,
okx,ACH/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-7.79464343498524e-05,-2.844343228261109e-06,0.7166666666666667,9.445743974982372e-05,
okx,AAPL/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,-9.940616279063333e-05,-9.798338335840666e-05,0.55,0.00037150196599663933,
