timestamp,open_positions,gross_pnl_estimate_usd,net_pnl_estimate_usd,funding_capture_estimate_usd
2026-03-24T02:25:18.411182+00:00,0,0.0,0.0,0.0
2026-03-24T02:30:47.031009+00:00,0,0.0,0.0,0.0
2026-03-24T02:36:15.063220+00:00,0,0.0,0.0,0.0
2026-03-24T02:41:44.015568+00:00,0,0.0,0.0,0.0
2026-03-24T02:47:12.313904+00:00,0,0.0,0.0,0.0
2026-03-24T02:52:41.133698+00:00,0,0.0,0.0,0.0
2026-03-24T02:58:09.769289+00:00,0,0.0,0.0,0.0
2026-03-24T03:03:38.359955+00:00,0,0.0,0.0,0.0
2026-03-24T03:09:07.001230+00:00,0,0.0,0.0,0.0
2026-03-24T03:14:35.700554+00:00,0,0.0,0.0,0.0
2026-03-24T03:20:03.900052+00:00,0,0.0,0.0,0.0
2026-03-24T03:25:32.105526+00:00,0,0.0,0.0,0.0
2026-03-24T03:31:01.078562+00:00,0,0.0,0.0,0.0
2026-03-24T03:36:29.452238+00:00,0,0.0,0.0,0.0
2026-03-24T03:41:55.618379+00:00,0,0.0,0.0,0.0
2026-03-24T03:47:21.979938+00:00,0,0.0,0.0,0.0
2026-03-24T03:52:48.400392+00:00,0,0.0,0.0,0.0
2026-03-24T03:58:15.001219+00:00,0,0.0,0.0,0.0
2026-03-24T04:03:43.063758+00:00,0,0.0,0.0,0.0
2026-03-24T04:09:10.602871+00:00,0,0.0,0.0,0.0
2026-03-24T04:14:37.054064+00:00,0,0.0,0.0,0.0
2026-03-24T04:20:03.117038+00:00,0,0.0,0.0,0.0
2026-03-24T04:25:31.604838+00:00,0,0.0,0.0,0.0
2026-03-24T04:31:00.904003+00:00,0,0.0,0.0,0.0
2026-03-24T04:36:28.753689+00:00,0,0.0,0.0,0.0
2026-03-24T04:41:57.257585+00:00,0,0.0,0.0,0.0
2026-03-24T04:47:26.420233+00:00,0,0.0,0.0,0.0
2026-03-24T04:52:54.359608+00:00,0,0.0,0.0,0.0
2026-03-24T04:58:21.721991+00:00,0,0.0,0.0,0.0
2026-03-24T05:03:48.926774+00:00,0,0.0,0.0,0.0
2026-03-24T05:09:15.417960+00:00,0,0.0,0.0,0.0
2026-03-24T05:14:41.948634+00:00,0,0.0,0.0,0.0
2026-03-24T05:20:08.751316+00:00,0,0.0,0.0,0.0
2026-03-24T05:25:35.106788+00:00,0,0.0,0.0,0.0
2026-03-24T05:31:01.865458+00:00,0,0.0,0.0,0.0
2026-03-24T05:36:29.300582+00:00,0,0.0,0.0,0.0
2026-03-24T05:41:57.348373+00:00,0,0.0,0.0,0.0
2026-03-24T05:47:25.659976+00:00,0,0.0,0.0,0.0
2026-03-24T05:52:53.607744+00:00,0,0.0,0.0,0.0
2026-03-24T05:58:20.949956+00:00,0,0.0,0.0,0.0
2026-03-24T06:03:48.301636+00:00,0,0.0,0.0,0.0
2026-03-24T06:09:15.360942+00:00,0,0.0,0.0,0.0
2026-03-24T06:14:42.263932+00:00,0,0.0,0.0,0.0
2026-03-24T06:20:07.916220+00:00,0,0.0,0.0,0.0
2026-03-24T06:25:33.559723+00:00,0,0.0,0.0,0.0
2026-03-24T06:30:59.086691+00:00,0,0.0,0.0,0.0
2026-03-24T06:36:24.269041+00:00,0,0.0,0.0,0.0
2026-03-24T06:41:49.683221+00:00,0,0.0,0.0,0.0
2026-03-24T06:47:15.267434+00:00,0,0.0,0.0,0.0
2026-03-24T06:52:40.659611+00:00,0,0.0,0.0,0.0
2026-03-24T06:58:06.262504+00:00,0,0.0,0.0,0.0
2026-03-24T07:03:32.422875+00:00,0,0.0,0.0,0.0
2026-03-24T07:08:58.602408+00:00,0,0.0,0.0,0.0
2026-03-24T07:14:24.802336+00:00,0,0.0,0.0,0.0
2026-03-24T07:19:50.852409+00:00,0,0.0,0.0,0.0
2026-03-24T07:25:16.605548+00:00,0,0.0,0.0,0.0
2026-03-24T07:30:42.103228+00:00,0,0.0,0.0,0.0
2026-03-24T07:36:07.750730+00:00,0,0.0,0.0,0.0
2026-03-24T07:41:33.607278+00:00,0,0.0,0.0,0.0
2026-03-24T07:46:59.253239+00:00,0,0.0,0.0,0.0
2026-03-24T07:52:24.848298+00:00,0,0.0,0.0,0.0
2026-03-24T07:57:50.351576+00:00,0,0.0,0.0,0.0
2026-03-24T08:03:18.500548+00:00,0,0.0,0.0,0.0
2026-03-24T08:08:44.491671+00:00,0,0.0,0.0,0.0
2026-03-24T08:14:11.568276+00:00,0,0.0,0.0,0.0
2026-03-24T08:19:59.719097+00:00,0,0.0,0.0,0.0
2026-03-24T08:25:26.430784+00:00,0,0.0,0.0,0.0
2026-03-24T08:30:52.914870+00:00,0,0.0,0.0,0.0
2026-03-24T08:36:18.865944+00:00,0,0.0,0.0,0.0
2026-03-24T08:41:45.320061+00:00,0,0.0,0.0,0.0
2026-03-24T08:47:11.219023+00:00,0,0.0,0.0,0.0
